Place;Deg_Lon;Deg_Lat;altitude;Biome;TANN;PANN;MTCO;MTWA
AlbaSanchez_a1;-5,04162;36,66366;1192;WAMX;13,66419291;809,4967215;7,187027295;21,36520767
AlbaSanchez_a10;-4,96582;36,70322;1123;COCO;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a100;-4,041782;33,85286;1113;TUND;12,95131898;799,1692114;5,552948316;21,44152641
AlbaSanchez_a101;-4,065878;33,79968;769;TUND;12,09181156;838,0721909;4,686679602;20,63645172
AlbaSanchez_a102;-4,159211;33,653631;1192;COST;11,17555038;773,6857975;3,759556135;19,78403664
AlbaSanchez_a103;-4,715923;33,382891;1655;TUND;10,14859564;604,8945504;2,569309195;18,7935435
AlbaSanchez_a104;-4,661729;33,404569;1483;WAST;10,14859564;604,8945504;2,569309195;18,7935435
AlbaSanchez_a105;-4,656264;33,404563;1366;WAST;10,14859564;604,8945504;2,569309195;18,7935435
AlbaSanchez_a106;-4,958171;33,224912;1252;TUND;10,16803666;634,0697497;2,565902392;18,88918877
AlbaSanchez_a107;-5,315588;32,464617;1140;TUND;9,560410986;651,9809532;1,494796157;18,5945975
AlbaSanchez_a109;-5,432414;32,417622;1456;TUND;8,85562264;660,9592938;0,841547136;17,74863116
AlbaSanchez_a11;-5,04177;36,64856;1006;COCO;13,66419291;809,4967215;7,187027295;21,36520767
AlbaSanchez_a110;-4,989956;32,531557;1634;COST;8,945656901;588,3198452;1,042661051;18,02411079
AlbaSanchez_a111;-4,972351;32,534187;1634;TUND;8,945656901;588,3198452;1,042661051;18,02411079
AlbaSanchez_a112;-5,306836;32,28702;1733;WAST;8,368249928;554,2710006;0,395779828;17,40260251
AlbaSanchez_a113;-5,410342;32,3011;1386;WAST;8,153679346;599,714638;0,145298223;17,12228902
AlbaSanchez_a114;-5,061569;32,976551;1386;WAST;9,8255454;549,884153;1,966734449;18,72024854
AlbaSanchez_a115;-5,071464;33,006335;1332;COST;9,8255454;549,884153;1,966734449;18,72024854
AlbaSanchez_a116;-5,180223;33,287499;1332;WAST;10,68379112;738,7743312;3,050192674;19,34424464
AlbaSanchez_a117;-5,19053;33,267471;1569;COST;10,68379112;738,7743312;3,050192674;19,34424464
AlbaSanchez_a118;-5,128402;33,377907;1386;COST;11,01627382;767,3805749;3,440871239;19,58238347
AlbaSanchez_a119;-5,139706;33,36205;1765;COST;11,53392899;736,5050715;3,945196629;20,09952037
AlbaSanchez_a12;-5,03144;36,64856;1596;TEDE;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a120;-5,184415;33,407958;1646;COST;11,53392899;736,5050715;3,945196629;20,09952037
AlbaSanchez_a121;-5,208466;33,401479;1663;TUND;11,53392899;736,5050715;3,945196629;20,09952037
AlbaSanchez_a122;-5,224375;33,381264;1366;WAST;11,53392899;736,5050715;3,945196629;20,09952037
AlbaSanchez_a123;-5,231046;33,352279;851;COST;11,53392899;736,5050715;3,945196629;20,09952037
AlbaSanchez_a124;-5,236495;33,300496;859;COST;10,68379112;738,7743312;3,050192674;19,34424464
AlbaSanchez_a125;-5,239618;33,253437;1046;COST;11,87806004;695,4797691;4,217608531;20,54691505
AlbaSanchez_a126;-5,29099;33,238472;1097;TUND;11,39563042;677,3259455;3,729255915;20,11324565
AlbaSanchez_a127;-5,238681;33,159732;1157;COST;10,49469241;695,0008768;2,876030127;19,19017092
AlbaSanchez_a128;-5,233222;33,213928;1197;COST;10,49469241;695,0008768;2,876030127;19,19017092
AlbaSanchez_a129;-5,201924;33,232016;1114;TUND;10,49469241;695,0008768;2,876030127;19,19017092
AlbaSanchez_a13;-5,019;36,69548;1397;XERO;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a130;-5,351986;32,977369;1397;WAST;12,51244563;668,9668241;4,549220641;21,52577845
AlbaSanchez_a131;-5,345176;32,977631;1575;COST;12,51244563;668,9668241;4,549220641;21,52577845
AlbaSanchez_a132;-5,24609;33,098369;1348;COST;11,30164403;657,7318543;3,582000017;20,06190681
AlbaSanchez_a133;-5,235244;33,032387;1201;TUND;10,23040607;601,9475234;2,521225691;19,0325292
AlbaSanchez_a134;-5,219707;33,03495;1252;COST;10,23040607;601,9475234;2,521225691;19,0325292
AlbaSanchez_a135;-5,010915;33,552338;1425;TUND;11,89300267;755,0218481;4,749826113;20,05039279
AlbaSanchez_a14;-5,0167;36,69592;1568;COST;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a15;-5,01459;36,69353;1568;XERO;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a16;-5,01851;36,70011;662;TAIG;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a17;-5,02261;36,70214;1405;TAIG;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a18;-5,01423;36,71336;1405;WAST;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a19;-5,01487;36,71097;1645;COMX;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a2;-5,05957;36,66343;1727;COST;13,66419291;809,4967215;7,187027295;21,36520767
AlbaSanchez_a20;-5,01623;36,70631;1786;COMX;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a21;-5,0177;36,70521;1618;COCO;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a23;-4,99694;36,67838;1648;XERO;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a25;-4,98794;36,68781;1866;COMX;13,7513423;760,2816939;7,270405134;21,43545787
