Place;Biome;Deg_Lon;Deg_Lat;altitude;TANN;PANN;MTCO;MTWA
AlbaSanchez_a1;TEFO;-5.04162;36.66366;1192;13.6641929149627;809.4967215;7.1870272954305;21.3652076721191
AlbaSanchez_a10;TEFO;-4.96582;36.70322;1123;13.7513422966003;760.2816939;7.27040513356526;21.4354578653971
AlbaSanchez_a100;WTFO;-4.041782;33.85286;1113;12.9513189792633;799.1692114;5.55294831593831;21.4415264129638
AlbaSanchez_a101;TEFO;-4.065878;33.79968;769;12.0918115576108;838.0721909;4.68667960166931;20.6364517211914
AlbaSanchez_a102;TEFO;-4.159211;33.653631;1192;11.1755503813426;773.6857975;3.75955613454183;19.7840366363525
AlbaSanchez_a103;TEFO;-4.715923;33.382891;1655;10.1485956410567;604.8945504;2.56930919488271;18.7935434977213
AlbaSanchez_a104;TEFO;-4.661729;33.404569;1483;10.1485956410567;604.8945504;2.56930919488271;18.7935434977213
AlbaSanchez_a105;TEFO;-4.656264;33.404563;1366;10.1485956410567;604.8945504;2.56930919488271;18.7935434977213
AlbaSanchez_a106;TEFO;-4.958171;33.224912;1252;10.1680366595586;634.0697497;2.56590239206949;18.8891887664794
AlbaSanchez_a107;WTFO;-5.315588;32.464617;1140;9.56041098634399;651.9809532;1.49479615688324;18.5945974985758
AlbaSanchez_a109;TEFO;-5.432414;32.417622;1456;8.85562264034522;660.9592938;0.84154713588456;17.7486311594645
AlbaSanchez_a11;WTFO;-5.04177;36.64856;1006;13.6641929149627;809.4967215;7.1870272954305;21.3652076721191
AlbaSanchez_a110;WTFO;-4.989956;32.531557;1634;8.94565690060456;588.3198452;1.04266105095545;18.0241107940674
AlbaSanchez_a111;WTFO;-4.972351;32.534187;1634;8.94565690060456;588.3198452;1.04266105095545;18.0241107940674
AlbaSanchez_a112;TEFO;-5.306836;32.28702;1733;8.36824992795784;554.2710006;0.39577982823054;17.4026025136311
AlbaSanchez_a113;TEFO;-5.410342;32.3011;1386;8.15367934604484;599.714638;0.145298222700754;17.1222890218099
AlbaSanchez_a114;TEFO;-5.061569;32.976551;1386;9.82554540038108;549.884153;1.9667344490687;18.7202485402425
AlbaSanchez_a115;TEFO;-5.071464;33.006335;1332;9.82554540038108;549.884153;1.9667344490687;18.7202485402425
AlbaSanchez_a116;WTFO;-5.180223;33.287499;1332;10.683791120847;738.7743312;3.05019267400106;19.3442446390787
AlbaSanchez_a117;WTFO;-5.19053;33.267471;1569;10.683791120847;738.7743312;3.05019267400106;19.3442446390787
AlbaSanchez_a118;WTFO;-5.128402;33.377907;1386;11.0162738164266;767.3805749;3.44087123870849;19.5823834737142
AlbaSanchez_a119;TEFO;-5.139706;33.36205;1765;11.533928990364;736.5050715;3.94519662857055;20.0995203653971
AlbaSanchez_a12;TEFO;-5.03144;36.64856;1596;13.7513422966003;760.2816939;7.27040513356526;21.4354578653971
AlbaSanchez_a120;WTFO;-5.184415;33.407958;1646;11.533928990364;736.5050715;3.94519662857055;20.0995203653971
