"","X1","X2","X3"
"1",55,2372.170191948,538.188390061643
"2",65,2741.14435579688,557.656440387523
"3",75,3114.02420559,579.719115605204
"4",85,3480.98868342488,596.925793460023
"5",95,3855.927895845,609.742967794379
"6",105,4226.1065010225,614.096133260418
"7",115,4603.06593722,625.54603031385
"8",125,4978.539503642,629.183865044553
"9",135,5349.78286198888,634.617915063453
"10",145,5707.50716804737,629.080849086428
"11",155,6074.03131006188,625.954220976708
"12",165,6437.17749750638,618.676352101443
"13",175,6811.27186303263,604.67258527984
"14",185,7187.71531388137,587.654603886047
"15",195,7565.6092985525,574.263426895653
"16",205,7937.01284071787,557.841689382633
"17",215,8320.758890755,536.199480711493
"18",225,8687.578946335,512.304267533906
"19",235,9053.73464115875,489.998893175158
"20",245,9417.0659189975,462.877960706309
"21",255,9795.05097082625,422.618243706674
"22",265,10166.3839667793,385.248133022802
"23",275,10541.2855054305,331.037603733328
"24",285,10902.7838587287,254.558414991592
"25",295,11269.0876615349,238.343625304397
"26",305,11619.9854175808,310.219871229556
"27",310,11798.1635578195,340.391816475381
"28",452,16794.8273413335,656.796776811326
"29",454,16864.1751249386,658.580713075102
"30",462,17148.0443523233,661.223388408675
"31",465,17254.3084241269,666.01048200864
"32",486,18031.9985664732,667.274885741501
"33",504,18773.7082303946,678.71300851569
"34",522,19516.8068191295,681.011832795324
"35",537,20192.0593111339,667.439463049237
"36",552,20921.2852656838,630.295097176091
"37",558,21209.8309949944,610.533948921852
"38",564,21504.6573028229,590.693082547328
"39",569,21740.3011140392,575.649113799723
"40",571,21834.2083687186,569.214883970948
"41",576,22071.1225548589,551.708702372582
"42",591,22791.1074179645,476.758729728108
"43",612,23797.1360809613,310.166529588784
"44",630,24885.4320062606,431.422863366391
"45",632,25025.3636306012,435.79643656088
"46",634,25165.2952549417,468.823442261159
"47",640,25591.3662023382,545.948455302831
"48",648,26150.7924127762,593.378673085394
"49",660,26996.6066884893,673.453390962447
"50",672,27824.427080681,690.723679592599
"51",681,28457.3509694394,704.50894764943
"52",689,29028.9503548168,701.583859120493
"53",693,29309.6138812129,688.597436012701
"54",704,30088.1302740729,645.692571396968
"55",710,30509.5144733924,621.329660998744
"56",716,30934.4071116219,573.444469857126
"57",722,31317.7514876504,530.36896377438
"58",731,31774.7826159847,466.963732687446
"59",740,32216.7770559281,405.596332126508
"60",752,32685.8540115556,386.991104086797
"61",764,33156.2440339126,363.601056300396
"62",779,33722.5014218753,318.935963216907
"63",794,34338.430509136,337.158973981485
"64",800,34586.0408784424,347.288689837223
"65",809,35034.6987577923,370.322764123437
"66",818,35478.5444697065,377.932831825
"67",833,36424.9520858583,534.89834741244
"68",851,37605.419635512,664.640035177283
"69",869,38774.6594833987,713.923821367474
"70",887,39951.8258126524,874.115119297132
"71",902,40937.3535873168,1003.47664905031
"72",911,41510.5507563536,1064.62983649833
"73",923,42122.2491282469,1143.15631912928
"74",932,42574.5393483806,1306.9228822594
"75",941,43026.8295685144,1544.65628229614
"76",950,43479.1197886482,1827.71803097643
"77",959,43931.4100087819,2138.1809865237
"78",968,44383.7002289157,2465.71637086715
"79",983,45137.5172624719,3034.4392773558
"80",995,45740.5708893169,3501.94552401787
"81",1007,46343.6245161619,3976.34116531284
"82",1022,47097.4415497182,4575.75772143988
"83",1034,47700.4951765631,5058.8460715179
"84",1049,48454.3122101194,5665.82439173202
"85",1070,49509.6560570982,6519.67893630962
"86",1091,50564.9999040769,7376.80148157634
"87",1103,51168.0535309219,7867.64219984026
"88",1118,51921.8705644782,8482.02347865749
"89",1136,52826.4510047456,9220.25541342077
"90",1154,53731.0314450131,9959.32707190383
"91",1169,54484.8484785694,10575.7345723398
"92",1184,55238.6655121256,11192.527337854
"93",1188,55439.6833877407,11357.0624667695
"94",1195,55791.4646700669,11645.0514424853
"95",1243,58203.6791774469,13621.3121179291
"96",1245,58304.1881152544,13703.7027457061
"97",1248,58454.9515219657,13827.2945528197
"98",1250,58555.4604597732,13909.6929201244
"99",1253,58706.2238664844,14033.2960800221
"100",1255,58806.7328042919,14115.7018495143
"101",1258,58957.4962110031,14239.3158709056
"102",1260,59058.0051488106,14321.7287245407
"103",1263,59208.7685555219,14445.3531440397
"104",1265,59309.2774933294,14527.772781711
"105",1268,59460.0409000407,14651.4071618854
"106",1270,59560.5498378481,14733.8333001783
"107",1273,59711.3132445594,14857.47722776
"108",1275,59811.8221823669,14939.9095988093
"109",1278,59962.5855890782,15063.5626830507
"110",1280,60063.0945268857,15146.0010334901
"111",1283,60213.8579335969,15269.6629046527
"112",1285,60314.3668714044,15352.1069946474
"113",1288,60465.1302781156,15475.7773026102
"114",1290,60565.6392159231,15558.2269049675
"115",1293,60716.4026226344,15681.9053179446
"116",1295,60816.9115604419,15764.3602172921
"117",1300,61068.1839049606,15970.5064126771
"118",1325,62324.5456275544,17001.4142324237
"119",1328,62475.3090342657,17125.1414033421
"120",1330,62575.8179720731,17207.628198438
"121",1333,62726.5813787844,17331.3613552808
"122",1335,62827.0903165919,17413.852069879
"123",1338,62977.8537233032,17537.5910019852
"124",1340,63078.3626611107,17620.0854989502
"125",1343,63229.1260678219,17743.8300054199
"126",1345,63329.6350056294,17826.3281539338
"127",1348,63480.3984123406,17950.0780430698
"128",1350,63580.9073501481,18032.5797182734
"129",1353,63731.6707568594,18156.3348070608
"130",1355,63832.1796946669,18238.8398897181
"131",1358,63982.9431013782,18362.6000033387
"132",1360,64083.4520391856,18445.1083795241
"133",1363,64234.2154458969,18568.8733509029
"134",1365,64334.7243837044,18651.3849117094
"135",1368,64485.4877904157,18775.154581091
"136",1370,64585.9967282232,18857.6692223569
"137",1373,64736.7601349344,18981.4434369094
"138",1375,64837.2690727419,19063.9610589627
