;;;MAT;;;;;;WAPLS;;;;;;CREST;;;;;;;;;;;
SiteNumber;SiteName;Age Cal BP;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma_Pos;TANN_Sigma_Neg;Sigma;MTWA;MTWA_Sigma_Pos;MTWA_Sigma_Neg;Sigma;MTCO;MTCO_Sigma_Pos;MTCO_Sigma_Neg;Sigma
1;Lake Xinias;19130,71;10,18461259;3,913292403;13,88805743;6,001838268;-2,154444078;6,128252231;10,55681656;3,975975439;21,12825223;10,55681656;-1,111942569;6,001838268;11,97207802;-2,306153077;26,29614807;14,2782311;22,01945002;19,66283142;24,3901951;2,356618609;3,246160658;0,20010005;6,283141571;3,046060607
1;Lake Xinias;19488,24;11,85953889;3,63094793;16,41665176;6,005263296;-0,120420296;6,589021995;12,50166638;3,979059349;21,58902199;12,50166638;1,416651765;6,005263296;13,54791842;-1,885942971;29,26563282;15,43386139;22,03943153;19,46273137;24,61530765;2,576700167;4,354566457;0,96048024;7,765882941;3,394086217
1;Lake Xinias;19845,76;15,01566931;2,310709139;13,6785794;6,000052234;6,301352024;3,055498944;9,92709422;3,974269775;18,05549894;9,92709422;-1,321420596;6,000052234;11,79905597;-1,549774887;25,2036018;13,34883086;22,37236328;20,06303152;24,66533267;2,309331762;3,767465647;0,770385193;6,739369685;2,997080455
1;Lake Xinias;19846;8,426006042;4,168989735;13,43748364;6,059437143;-5,855905651;6,965888888;9,11075829;4,020801057;21,96588889;9,11075829;-1,562516364;6,059437143;12,32441015;3,24062031;21,39369685;9,08378984;23,07616886;21,48874437;24,64032016;1,587424491;4,3075635;2,025012506;6,587293647;2,282550994
1;Lake Xinias;20024;9,293293508;3,374633078;11,88930616;5,998573416;-2,889086585;5,074994478;8,452395149;3,972900712;20,07499448;8,452395149;-3,110693843;5,998573416;12,21541705;2,792396198;21,6178089;9,423020852;22,15044431;20,61330665;23,66483242;1,537137658;4,784361985;2,937468734;6,663331666;1,846893251
1;Lake Xinias;20153;9,293293508;3,374633078;11,88930616;5,998573416;-2,889086585;5,074994478;8,452395149;3,972900712;20,07499448;8,452395149;-3,110693843;5,998573416;12,21541705;2,792396198;21,6178089;9,423020852;22,15044431;20,61330665;23,66483242;1,537137658;4,784361985;2,937468734;6,663331666;1,846893251
1;Lake Xinias;20203,29;9,293293508;3,616163629;13,03770983;6,00021434;-2,889086585;5,497980124;9,788928936;3,97427217;20,49798012;9,788928936;-1,962290171;6,00021434;11,97927947;0,663331666;23,29864932;11,3159478;22,31044762;20,58829415;24,04002001;1,722153476;4,706623063;2,633316658;6,777388694;2,073306405
1;Lake Xinias;20369;6,083254963;3,071761072;10,52717154;5,998752793;-10,15920619;5,084189889;7,410444664;3,972791662;20,08418989;7,410444664;-4,472828464;5,998752793;12,76628754;3,856928464;21,70185093;8,909359076;22,11900136;20,71335668;23,51475738;1,405644682;4,690442636;2,709354677;6,701350675;1,981087959
1;Lake Xinias;20560,81;9,365219171;2,696411529;12,60736813;5,999833761;-2,348686238;4,118457385;9,157354462;3,973864429;19,11845739;9,157354462;-2,392631868;5,999833761;11,48339142;0,411205603;22,57028514;11,07218582;22,23767837;20,31315658;24,16508254;1,924521796;3,134445343;0,390195098;5,864932466;2,744250245
