"";"Ages";"optima";"mean";"Ages.1";"X0.5_inf";"X0.5_sup";"X0.95_inf";"X0.95_sup";"Ages.2";"optima.1";"mean.1";"Ages.3";"X0.5_inf.1";"X0.5_sup.1";"X0.95_inf.1";"X0.95_sup.1";"Ages.4";"optima.2";"mean.2";"Ages.5";"X0.5_inf.2";"X0.5_sup.2";"X0.95_inf.2";"X0.95_sup.2";"Ages.6";"optima.3";"mean.3";"Ages.7";"X0.5_inf.3";"X0.5_sup.3";"X0.95_inf.3";"X0.95_sup.3"
"1";1;12,0090045022511;11,9720780181241;1;7,07853926963482;16,9394697348674;-2,30615307653827;26,296148074037;1;224,257128564283;385,892174618782;1;139,244622311157;362,036018009005;58,6293146573296;875,042521260631;1;2,58829414707354;2,47671314855981;1;-3,32466233116558;8,50125062531266;-14,4302151075538;19,6068034017009;1;20,4712356178089;20,4791558590663;1;16,1220610305153;24,8204102051025;7,80190095047524;33,1675837918959
"2";2;13,6898449224612;13,5479184219493;2;8,25512756378189;19,1525762881441;-1,88594297148574;29,2656328164082;2;159,764882441222;307,860382223792;2;93,8069034517268;277,023511755879;35,1775887943982;738,729364682342;2;5,19959979989995;4,72213817357104;2;-1,37368684342171;11,7728864432216;-13,0495247623812;23,4487243621811;2;21,8219109554777;21,7881329584427;2;16,9594797398699;26,6573286643322;7,74787393696848;35,895947973987
"3";3;11,8129064532266;11,7990559727802;3;7,21860930465233;16,4072036018009;-1,54977488744372;25,2036018009005;3;253,571785892947;424,974881930738;3;159,764882441222;404,542271135569;67,4237118559289;951,260630315158;3;2,31815907953977;2,27041958856412;3;-3,20460230115058;7,84092046023012;-13,67983991996;18,3461730865433;3;20,4712356178089;20,4631963444599;3;16,392196098049;24,5232616308154;8,61230615307654;32,3301650825413
"4";4;11,9809904952476;11,9792794706987;4;8,08704352176088;15,8469234617309;0,663331665832917;23,2986493246623;4;285,817908954478;465,336062328587;4;183,216608304153;447,048524262132;80,6153076538279;1024,54727363682;4;2,43821910955478;2,42183265555183;4;-2,30415207603802;7,15057528764383;-11,3386693346673;16,1850925462731;4;20,6603301650825;20,6737389713179;4;17,1755877938969;24,1450725362681;10,5032516258129;30,8444222111056
"5";5;11,4767383691846;11,4833914170734;5;7,69484742371186;15,2866433216608;0,411205602801402;22,5702851425713;5;351,775887943973;535,304498663731;5;234,517258629316;529,129564782392;111,395697848925;1128,61430715358;5;1,71785892946473;1,70250385485667;5;-2,84442221110555;6,25012506253127;-11,5187593796898;14,9544772386193;5;20,3631815907954;20,3633114708178;5;16,9594797398699;23,7668834417209;10,4492246123062;30,2771385692846
"6";6;12,2051025512756;12,215417052365;6;8,98349174587294;15,4267133566783;2,79239619809905;21,6178089044522;6;461,705852926464;638,733384862899;6;326,858429214608;653,716858429215;170,025012506254;1257,5987993997;6;2,85842921460731;2,86705119216943;6;-1,13356678339169;6,88044022011005;-8,81740870435218;14,5642821410705;6;20,8764382191096;20,8633367167278;6;17,9859929964982;23,7668834417209;12,448224112056;29,3046523261631
"7";7;12,2051025512756;12,215417052365;7;8,98349174587294;15,4267133566783;2,79239619809905;21,6178089044522;7;461,705852926464;638,733384862899;7;326,858429214608;653,716858429215;170,025012506254;1257,5987993997;7;2,85842921460731;2,86705119216943;7;-1,13356678339169;6,88044022011005;-8,81740870435218;14,5642821410705;7;20,8764382191096;20,8633367167278;7;17,9859929964982;23,7668834417209;12,448224112056;29,3046523261631
"8";8;12,2051025512756;12,215417052365;8;8,98349174587294;15,4267133566783;2,79239619809905;21,6178089044522;8;461,705852926464;638,733384862899;8;326,858429214608;653,716858429215;170,025012506254;1257,5987993997;8;2,85842921460731;2,86705119216943;8;-1,13356678339169;6,88044022011005;-8,81740870435218;14,5642821410705;8;20,8764382191096;20,8633367167278;8;17,9859929964982;23,7668834417209;12,448224112056;29,3046523261631
"9";9;12,7653826913457;12,7662875397967;9;9,71185592796398;15,8189094547274;3,85692846423212;21,7018509254627;9;495,417708854428;668,267532668485;9;354,707353676839;688,894447223613;190,545272636319;1289,84492246123;9;3,4887443721861;3,48473644732722;9;-0,293146573286641;7,27063531765883;-7,5567783891946;14,504252126063;9;21,4167083541771;21,4125726389934;9;18,6613306653327;24,1450725362681;13,4207103551776;29,4127063531766
"10";10;12,7653826913457;12,7662875397967;10;9,71185592796398;15,8189094547274;3,85692846423212;21,7018509254627;10;495,417708854428;668,267532668485;10;354,707353676839;688,894447223613;190,545272636319;1289,84492246123;10;3,4887443721861;3,48473644732722;10;-0,293146573286641;7,27063531765883;-7,5567783891946;14,504252126063;10;21,4167083541771;21,4125726389934;10;18,6613306653327;24,1450725362681;13,4207103551776;29,4127063531766
"11";11;12,7653826913457;12,7662875397967;11;9,71185592796398;15,8189094547274;3,85692846423212;21,7018509254627;11;495,417708854428;668,267532668485;11;354,707353676839;688,894447223613;190,545272636319;1289,84492246123;11;3,4887443721861;3,48473644732722;11;-0,293146573286641;7,27063531765883;-7,5567783891946;14,504252126063;11;21,4167083541771;21,4125726389934;11;18,6613306653327;24,1450725362681;13,4207103551776;29,4127063531766
"12";12;12,1490745372686;12,1422955764037;12;9,09554777388695;15,1745872936468;3,26863431715858;21,0015007503752;12;439,719859929966;606,328139007027;12;310,735367683843;620,005002501251;162,696348174088;1191,64082041021;12;2,97848924462231;2,96895617762238;12;-0,773386693346673;6,7303651825913;-8,00700350175087;13,9339669834918;12;20,9034517258629;20,9118351640595;12;18,1750875437719;23,631815907954;12,9344672336168;28,8994497248624
"13";13;12,1490745372686;12,1422955764037;13;9,09554777388695;15,1745872936468;3,26863431715858;21,0015007503752;13;439,719859929966;606,328139007027;13;310,735367683843;620,005002501251;162,696348174088;1191,64082041021;13;2,97848924462231;2,96895617762238;13;-0,773386693346673;6,7303651825913;-8,00700350175087;13,9339669834918;13;20,9034517258629;20,9118351640595;13;18,1750875437719;23,631815907954;12,9344672336168;28,8994497248624
"14";14;12,1490745372686;12,1422955764037;14;9,09554777388695;15,1745872936468;3,26863431715858;21,0015007503752;14;439,719859929966;606,328139007027;14;310,735367683843;620,005002501251;162,696348174088;1191,64082041021;14;2,97848924462231;2,96895617762238;14;-0,773386693346673;6,7303651825913;-8,00700350175087;13,9339669834918;14;20,9034517258629;20,9118351640595;14;18,1750875437719;23,631815907954;12,9344672336168;28,8994497248624
"15";15;11,9249624812406;11,9170984739248;15;8,81540770385193;15,0345172586293;2,82041020510255;21,0015007503752;15;476,363181590796;644,836856813401;15;341,51575787894;663,976988494248;183,216608304153;1247,33866933467;15;2,64832416208104;2,64987546377234;15;-1,16358179089545;6,46023011505753;-8,45722861430715;13,783891945973;15;20,7413706853427;20,7322582634127;15;17,9859929964982;23,4967483741871;12,6913456728364;28,7913956978489
"16";16;11,9249624812406;11,9170984739248;16;8,81540770385193;15,0345172586293;2,82041020510255;21,0015007503752;16;476,363181590796;644,836856813401;16;341,51575787894;663,976988494248;183,216608304153;1247,33866933467;16;2,64832416208104;2,64987546377234;16;-1,16358179089545;6,46023011505753;-8,45722861430715;13,783891945973;16;20,7413706853427;20,7322582634127;16;17,9859929964982;23,4967483741871;12,6913456728364;28,7913956978489
"17";17;12,2051025512756;12,1922718624776;17;9,40370185092547;15,0065032516258;3,99699849924962;20,3851925962981;17;567,238619309656;761,418791108305;17;407,473736868435;787,098549274638;219,859929964983;1464,26713356678;17;2,6783391695848;2,68712942380086;17;-0,803401700850422;6,16008004002001;-7,46673336668334;12,8234117058529;17;21,1735867933967;21,1673845871878;17;18,6073036518259;23,7128564282141;13,6908454227114;28,6293146573287
"18";18;12,2051025512756;12,1922718624776;18;9,40370185092547;15,0065032516258;3,99699849924962;20,3851925962981;18;567,238619309656;761,418791108305;18;407,473736868435;787,098549274638;219,859929964983;1464,26713356678;18;2,6783391695848;2,68712942380086;18;-0,803401700850422;6,16008004002001;-7,46673336668334;12,8234117058529;18;21,1735867933967;21,1673845871878;18;18,6073036518259;23,7128564282141;13,6908454227114;28,6293146573287
"19";19;11,7008504252126;11,704562334022;19;8,4232116058029;15,0065032516258;2,09204602301151;21,3376688344172;19;430,925462731367;619,943011025393;19;297,543771885944;625,867933966984;148,039019509756;1256,13306653327;19;2,22811405702851;2,23104106413089;19;-1,76388194097049;6,25012506253127;-9,44772386193096;13,9339669834918;19;20,6873436718359;20,6919516767128;19;17,6888444222111;23,6858429214607;11,9349674837419;29,43971985993
"20";20;11,3926963481741;11,4024485256965;20;8,14307153576788;14,6703351675838;1,86793396698349;20,9454727363682;20;445,582791395699;626,029958638746;20;313,666833416709;637,59379689845;159,764882441222;1245,87293646823;20;1,83791895947974;1,84638273769218;20;-2,12406203101551;5,82991495747874;-9,77788894447223;13,4537268634317;20;20,3901950975488;20,4033544898719;20;17,4187093546773;23,3616808404202;11,7188594297149;29,0885442721361
"21";21;12,3171585792896;12,3244101506897;21;9,20760380190095;15,4267133566783;3,24062031015508;21,3936968484242;21;442,651325662832;641,01602409615;21;303,406703351677;644,922461230616;150,970485242622;1307,43371685843;21;2,73836918459229;2,73380209477261;21;-1,04352176088044;6,49024512256128;-8,27713856928464;13,7238619309655;21;21,2816408204102;21,2908036305853;21;18,4452226113057;24,1180590295148;13,0155077538769;29,5477738869435
