Age;predMAT.fit...1.;predMAT.SEP.boot...1.;predMAT.fit...1..1;predMAT.SEP.boot...1..1;predMAT.fit...1..2;predMAT.SEP.boot...1..2;predMAT.fit...1..3;predMAT.SEP.boot...1..3
2,372170192;8,547384185;3,040433055;920,677581;270,8469425;18,0762085;2,55067045;-0,823465222;4,249883652
2,680489887;7,868102753;2,95686975;900,4662027;274,9929555;18,11914644;2,556090263;-0,867925714;4,367423673
3,114024206;8,405863971;2,898470171;830,985571;276,0296491;18,21642064;2,503436155;-0,575592308;4,099586561
3,480988683;8,633958121;2,92641169;827,8890521;276,2290827;18,35294153;2,53036563;-0,098598337;4,112141733
3,855927896;9,753835276;2,786202373;910,4103731;273,3746366;18,87328559;2,515623487;1,019826891;3,929389532
4,226106501;9,185755083;3,013552942;966,5496125;289,8471849;18,34733657;2,696094774;0,211748999;4,147925821
4,603065937;10,09162539;2,874866655;1046,522247;290,735927;19,40876287;2,814591254;1,427365682;3,907988164
4,978539504;9,80264252;2,961606304;1050,883529;298,2674756;19,10347308;2,782142343;1,470994646;4,108118272
5,349782862;9,977726638;2,841184397;963,6101835;312,7479755;19,01000941;2,778919357;1,831009407;4,023245919
5,707507168;9,102992503;2,786789782;1144,134636;314,8795322;17,75645379;2,594929045;1,489975625;3,920113638
6,07403131;9,022995722;2,776093359;1032,918789;303,9568128;17,24930539;2,57327667;1,782885526;3,846398731
6,437177498;9,204680161;2,772625987;1130,798731;304,8675677;17,81730742;2,652641864;1,485204706;3,824437176
6,811271863;9,586507474;2,828584183;1025,47112;295,4241768;18,18416414;2,712483407;1,608238171;3,899986447
7,187715314;9,35256166;2,817453764;1031,810868;295,5774868;18,13065011;2,724944784;1,628933658;3,82598771
7,565609299;9,81058346;2,748719015;1049,9131;305,3264635;18,58900637;2,693956619;2,247820166;3,751039872
7,937012841;9,628797804;2,861168057;1058,913069;295,4100978;18,37280951;2,702461636;1,435707767;3,887809545
8,320758891;9,421436774;2,803285178;1033,166259;297,2567262;18,13587709;2,719654229;1,61110418;3,800160897
8,687578946;8,876454555;2,875961911;1052,893782;298,0723881;17,56046445;2,713559937;1,26951479;3,913141022
9,053734641;9,223289289;2,872412041;1064,506434;301,9349676;17,85662972;2,758254326;1,307289592;3,914939894
9,417065919;9,216879216;2,95839154;1077,053803;310,6588017;17,94364071;2,738689426;1,075994497;4,021043824
9,795050971;6,939268739;3,115346365;1138,119309;312,1560558;16,14443754;2,792526769;-1,381665688;4,323467159
10,16638397;3,557310895;3,141748247;1059,422687;301,9415257;14,46745847;2,665848591;-6,270928113;4,582773036
10,54128551;2,173058291;3,280010922;816,5477272;264,3698622;15,15871351;2,849415438;-11,00432659;4,873522523
10,40733674;1,903238585;3,010200835;798,2035283;262,4298439;14,73125165;2,873513146;-10,9175963;4,803457772
11,26908766;2,029519637;3,24329875;730,2251928;258,7466741;15,69158178;2,779095521;-11,01918462;5,009483652
11,61998542;1,970215848;3,201854036;876,284149;267,5679543;13,99157619;2,604912319;-8,893046159;5,112777449
11,15953887;2,080301548;3,089272584;941,2019377;279,1278417;13,95710802;2,697517671;-8,702980832;5,372352101
14,68286027;7,531556563;3,316211129;951,2062286;259,5870552;17,78303934;2,504079708;-2,009746127;4,828670633
14,78888325;8,015214205;2,824583215;1024,370097;271,2632224;17,92846787;2,403545664;-1,485159298;4,062049777
14,86160123;8,208723435;3,259691304;1072,551304;283,355025;17,80733012;2,874348349;-0,652137053;4,502016122
14,9706782;5,784168593;3,194866154;963,6775443;274,9552591;16,32333513;2,819623463;-3,953854649;4,386677092
15,04116796;1,72724601;3,112620735;766,4478648;251,5443011;15,60055609;2,771930305;-12,28374208;4,894796533
15,1469026;1,736147772;3,182905983;805,9188831;256,5631254;15,34343448;2,716483386;-11,16719704;4,868930747
15,2182835;1,159190107;3,030986094;761,3663073;238,4113954;15,07265679;2,615896797;-11,75432674;4,623998169
15,32535484;2,020078168;3,117420154;709,4212215;233,86187;16,39097277;2,721495168;-12,49632855;4,68685367
15,56642284;2,491714959;3,182072092;711,0334743;234,3305729;16,48005089;2,608299265;-11,56715824;4,8222429
15,67133161;1,015219505;3,268194609;807,7034759;247,5049093;14,42075494;2,62559788;-11,5768668;5,011218716
15,74588994;1,611087944;3,193309999;801,6320397;241,5705011;14,991592;2,547348298;-11,13391105;4,784717877
14,94995375;0,411275771;3,302190891;820,342727;237,8369618;14,41615285;2,744266193;-11,48394875;5,783738742
